nom,prenom,titre,etude,adresse,npa,ville,date_inscription,canton
Flütsch,Andreas,lic. iur.,Flütsch Advokatur & Notariat GmbH,Promenade 87,7270,Davos Platz,16.06.2006,GR
Fry,Cecilia Giulia,MLaw,Nievergelt & Stoehr AG,Crappun 8,7503,Samedan,25.06.2024,GR
Fryberg,Pius,lic. iur.,et oec. Fryberg Augustin Breitenmoser Partner,Quaderstrasse 8,7001,Chur,11.07.1977,GR
Fuchs,Annick Elke,MLaw,Caviezel Partner AG,Masanserstrasse 138,7000,Chur,14.01.2026,GR
Ganzoni,Riet Andrea,lic. iur.,Ganzoni & Pedretti AG Via,Maistra 1,7500,St. Moritz,26.03.1996,GR
Ghidoni,Mario Antonio Teresio,lic. iur.,Studio legale M.A. Ghidoni Via in,Bòla 6,6535,Roveredo,14.12.1989,GR
Gilli,Ursin Luca,MLaw,Kunz Schmid Rechtsanwälte und Notare AG,Gäuggelistrasse 1,7001,Chur,18.12.2020,GR
Giovannini,Michelangelo,lic. iur.,Vincenz & Partner,Masanserstrasse 40,7000,Chur,19.05.2000,GR
Giovanoli,Dario,MLaw,Advokaturbüro Dario Giovanoli Via da,Ftan 408,7550,Scuol,18.06.2010,GR
Giovanoli,Livio,MLaw,Vincenz & Partner AG,Masanserstrasse 40,7000,Chur,24.10.2023,GR
Gorfer,Martina,lic. iur.,Advokatur Gorfer Via,Maistra 24,7500,St. Moritz,18.01.2008,GR
Götz,Fabienne,MLaw,SwissLegal Lardi & Partner AG,Reichsgasse 65,7000,Chur,02.07.2025,GR
Gustin,Andri,MLaw,", LL.M. Gadient + Partner",Werkstrasse 2,7000,Chur,23.01.2020,GR
Heinz,Marx,Dr. iur.,Advokaturbüro Marx Heinz Ober,Ruvria 8,7430,Thusis,13.01.1967,GR
Heldstab,Ursina,MLaw,Advocatur am Nicolai,Kornplatz 2,7001,Chur,06.07.2018,GR
Heller,Tanja,lic. iur.,Advokaturbüro Tanja Heller Voa davos,Lai 19a,7078,Lenzerheide,13.06.2007,GR
Herold,Andreas,lic. iur.,Advokaturbüro Andreas Herold,Goldgasse 4,7000,Chur,08.01.1979,GR
Hess,Thomas Friedrich,lic. iur.,Notariatsbüro Hess,Heinzenbergstrasse 51,7425,Masein,12.01.1994,GR
Hew,Christian,lic. iur.,Mattli & Hew,Promenade 60,7270,Davos Platz,18.06.1992,GR
Holliger,Raphaela Petra,Dr. iur.,Advokatur-Notariat Cahannes,Quaderstrasse 22,7000,Chur,29.06.2021,GR
Honegger,Diana,lic. iur.,Advokaturbüro Diana Honegger,Scalettastrasse 116,7000,Chur,12.01.1994,GR
Infanger,Dominik,Dr. iur.,Gadient + Partner,Werkstrasse 2,7000,Chur,22.06.2001,GR
Isepponi,Alice,MLaw,BänzigerPallySchuler KLG,Bahnhofstrasse 7,7001,Chur,29.11.2024,GR
Janett,Markus,lic. iur.,Schnyder Janett Advokatur & Notariat,Schulstrasse 1,7302,Landquart,14.01.1988,GR
Joos,Hans,Dr. iur.,Advokaturbüro Dr. iur. Hans Joos Plazza da,Scoula 12,7500,St. Moritz,09.01.1976,GR
Jörger,Werner,Dr. iur.,Advokaturbüro Werner Jörger,Kornplatz 12,7000,Chur,11.01.1980,GR
Just,Hermann,lic. iur.,Buchli Just Advokatur und Notariat,Masanserstrasse 35,7001,Chur,18.06.1993,GR
Kaiser,Nathan,lic. iur.,HSG Anwaltskanzlei Nathan Kaiser Via vers,Chardens 8,7513,Silvaplana,12.02.1999,GR
Kasper,Johannes,,M.A. HSG Kasper Advokatur,Talstrasse 1,7250,Klosters,04.07.2014,GR
Keller,Cristina Raffaella Lucia,lic. iur.,et oec. Studio legale e notarile Fabrizio Keller e Partner SVAia a la,Mota 1,6537,Grono,15.12.2000,GR
Keller,Fabrizio Francesco,lic. iur.,Studio legale e notarile Fabrizio Keller e Partner SVAia a la,Mota 1,6537,Grono,13.06.1988,GR
Keller,Roberto Angelo,lic. iur.,Studio legale Roberto A. Keller Via de la,Grida 11,6535,Roveredo,10.01.1992,GR
Kistler,Hansjörg,Dr. iur.,Kistler & Kollegen,Promenade 132A,7260,Davos Dorf,28.01.1974,GR
Kocher,Christine Julia,lic. iur.,Schawalder + Kocher,Landstrasse 180,7250,Klosters,21.06.2023,GR
Kocher,Hans Peter,Dr. iur.,Schawalder + Kocher,Landstrasse 180,7250,Klosters,15.01.1999,GR
