nom_complet,titre_academique,ville,canton
Looser Elena,"MLaw, LL.M.",Zug,ZG
Lustenberger Erwin,Dr.iur.,Cham,ZG
Maeder Christian,lic.iur.,Zug,ZG
Mäder Christina,MLaw,Zug,ZG
Mahler Bruno,Dr.iur.,Zug,ZG
Margraf Silvia,lic.iur.,Zug,ZG
Mathis Karl,lic.iur.,Baar,ZG
Mattig Cornelia,"MLaw, LL.M.",Zug,ZG
Mattmann Dominique,MLaw,Zug,ZG
Maurer-​Lambrou Urs,"Fürsprecher, LL.M.",Baar,ZG
McCreight-​Ernst Ursula,Fürsprecherin,Rotkreuz,ZG
Meier Bruno,lic.iur.,Zug,ZG
Merenda Rahel,lic.iur.,Cham,ZG
Mikic Jessica,MLaw,Zug,ZG
Milic Andelka,MLaw,Zug,ZG
Mohasseb Keivan,MLaw,Zug,ZG
Monnerat Simone,lic.iur.,Cham,ZG
Moos Adrian,lic.iur.,Baar,ZG
Moos Sonja,lic.iur.,Zug,ZG
Mosimann Daniel,lic.iur.,Zug,ZG
Mosimann Michael,"Dr.iur., LL.M.",Zug,ZG
Mosimann Rudolf,Dr.iur.,Zug,ZG
Müller Alexandra,MLaw,Zug,ZG
Müller Andrea,ass.iur.,Baar,ZG
Müller Andreas,lic.iur.,Zug,ZG
Müller Corina,MLaw,Zug,ZG
Müller Florian A.,"MLaw, LL.M.",Baar,ZG
Müller Florian,MLaw,Baar,ZG
Müller Judith,lic.iur.,Zug,ZG
Müller Micheline,MLaw,Zug,ZG
Müller Oskar,lic.iur.,Baar,ZG
Müller Renate,MLaw,Baar,ZG
Müller Sophie A.,MLaw,Zug,ZG
Müller Stefan,"MLaw, LL.M.",Zug,ZG
Müller Thomas M.,Dr.iur.,Zug,ZG
Murer Marcel,lic.iur.,Cham,ZG
Näf Eva,lic.iur.,Steinhausen,ZG
Nägeli Richard,lic.iur.,Zug,ZG
Neese Martin,"Dr.iur., LL.M., Executive M.B.L.-HSG",Zug,ZG
Nellissery Anna,MLaw,Zug,ZG
Nick Patrick,MLaw,Zug,ZG
Niederberger Peter,lic.iur.,Zug,ZG
Nufer Fabienne,"MLaw, LL.M.",Zug,ZG
Nützi Patrick,"Dr.iur., LL.M.",Zug,ZG
Nyffenegger Stephan K.,lic.iur.,Baar,ZG
Odermatt André,lic.iur.,Zug,ZG
Odermatt Patrik,M.A. HSG,Zug,ZG
Oehen Philip,MLaw,Zug,ZG
Oehri Daniel,"MLaw, LL.M.",Zug,ZG
Ohnsorg Adrian,lic.iur,Rotkreuz,ZG
Omürcan Özden,MLaw,Zug,ZG
Padrutt Christian,MLaw,Rotkreuz,ZG
Pälmke Susanne,"lic.iur., LL.M.",Walchwil,ZG
Perren Philipp,Dr. iur. et Dipl. Masch.-Ing. ETH,Zug,ZG
Petkovic Bojan,lic.iur.,Zug,ZG
Peyer Adrian,lic.iur.,Zug,ZG
Peyer René,lic.iur.,Zug,ZG
Pfaffhauser Papanikolaou Alina,MLaw,Zug,ZG
Pfister Arnold Maya,lic.iur.,Zug,ZG
Planzer Simon,Dr.iur.,Zug,ZG
Portmann Zürcher Karin,Fürsprecherin,Zug,ZG
Pulver J. Martin,"lic.iur., Executive M.B.L.-HSG",Baar,ZG
Radovic Darko,MLaw,Cham,ZG
Raeber André,lic.iur.,Steinhausen,ZG
Raimondi Christophe,"MLaw, LL.M.",Zug,ZG
Renggli Michael,lic.iur.,Zug,ZG
Riek Rainer,Dr.iur.,Zug,ZG
Rietiker Dominik,MLaw,Zug,ZG
Rinderknecht Thomas M.,Dr.iur.,Zug,ZG
Röllin-Thaler Melanie,MLaw,Zug,ZG
Rohner Sybille,MLaw,Baar,ZG
Rosenthal Sarah,MLaw,Baar,ZG
Rotter Dimitri,lic.iur.,Baar,ZG
Rubeli Laura,MLaw,Zug,ZG
Ruchti Silvia,lic.iur.,Zug,ZG
Ruckstuhl Chantal,MLaw,Steinhausen,ZG
Rudolf Andreas,"lic.iur., LL.M.",Zug,ZG
Ruf Jürg,"Dr.iur., LL.M.",Rotkreuz,ZG
Rüttimann Albert,Dr.iur.,Zug,ZG
Schärli Kilian,"Dr.iur., LL.M.",Baar,ZG
Schaub Rudolf P.,Dr.iur.,Baar,ZG
Schelbert Bruno,lic.iur.,Zug,ZG
Schelbert Cyrill,MLaw,Baar,ZG
Scheubel Patrick,lic.iur.,Cham,ZG
Schilliger Alex,lic.iur.,Zug,ZG
Schilter Andreas,Dr.iur.,Zug,ZG
Schilter Irène,Dr.iur.,Zug,ZG
Schlatter Simone,MLaw,Zug,ZG
Schlaubitz Herbert C.,Fürsprecher,Zug,ZG
Schlumpf Eva,Dr.iur.,Zug,ZG
Schlup Robert,Dr.iur.,Zug,ZG
Schmid Heini,lic.iur.,Baar,ZG
Schmid Marco,lic.iur.,Zug,ZG
Schmid Philippe,MLaw,Zug,ZG
Schmidli Nadine,MLaw,Zug,ZG
Schneeberger Nicole,MLaw,Zug,ZG
Schneider Angela,MLaw,Zug,ZG
Schneider Sarah,lic.iur.,Zug,ZG
Schnurrenberger Markus,lic.iur.,Zug,ZG
Schönbächler Dario,MLaw,Zug,ZG
Schönenberger Patrick,MLaw,Zug,ZG
Schregenberger Andreas,"lic.iur., LL.M.",Baar,ZG
Schreier Oliver,MLaw,Zug,ZG
Schuler Joseph,lic.iur.,Zug,ZG
Schuler-Villiger Claudia,MLaw,Baar,ZG
Schwartz Alexander,lic.iur.,Zug,ZG
Schweiger Christoph,lic.iur.,Zug,ZG
Schweingruber Christian,lic.iur.,Steinhausen,ZG
Schweizer Linus,lic.iur.,Zug,ZG
Seckler Dorothea,"Dr.iur., LL.M.",Zug,ZG
Seeberger Pascal,MLaw,Zug,ZG
Seeholzer Corinne,lic.iur.,Rotkreuz,ZG
Seitz Guido,lic.iur.,Cham,ZG
